Restriction Type,Parking Spaces,Times Of Operation,Maximum Stay,Tariff,Cashless Identifier,Nearest Machine,Road Name,Postcode,Controlled Parking Zone,Valid Parking Permits,Parking Bay Length Metres,Disclaimer,Easting,Northing,Longitude,Latitude,EPSG:27700 Well Known Text Geometry,EPSG:4326 Well Known Text Geometry,EPSG:27700 GeoJSON Geometry,EPSG:4326 GeoJSON Geometry,Unique Identifier,Spatial Accuracy,Last Uploaded,Location,Organisation URI
trader / resident permit holders,3,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Hatton Garden,EC1N 8JD,CA-D,CA-D,16,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531292,182010,-0.108976,51.521759,"MULTILINESTRING ((531286.54 182016.73,531285.09 182015.31,531297.54 182003.76,531298.86 182005.14))","LINESTRING (-0.109052 51.521819,-0.109074 51.521807,-0.108899 51.5217,-0.108879 51.521712)","{""type"":""MultiLineString"",""coordinates"":[[[531286.54,182016.73],[531285.09,182015.31],[531297.54,182003.76],[531298.86,182005.14]]]}","{""type"":""LineString"",""coordinates"":[[-0.109052,51.521819],[-0.109074,51.521807],[-0.108899,51.5217],[-0.108879,51.521712]]}",46128000,Defined By Custodian,04/08/2023 11:00:34 PM,"(51.521759, -0.108976)",http://opendatacommunities.org/id/london-borough-council/camden
loading,1,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Hemstal Road,NW6 2AD,CA-Q,N/A,8,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525185,184399,-0.196099,51.544614,"MULTILINESTRING ((525189.22 184397.45,525189.59 184399.48,525181.51 184401.05,525181.16 184398.8))","LINESTRING (-0.196044 51.544598,-0.196038 51.544616,-0.196154 51.544632,-0.19616 51.544612)","{""type"":""MultiLineString"",""coordinates"":[[[525189.22,184397.45],[525189.59,184399.48],[525181.51,184401.05],[525181.16,184398.8]]]}","{""type"":""LineString"",""coordinates"":[[-0.196044,51.544598],[-0.196038,51.544616],[-0.196154,51.544632],[-0.19616,51.544612]]}",46044322,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.544614, -0.196099)",http://opendatacommunities.org/id/london-borough-council/camden
trader / resident permit holders,1,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Bedford Row,WC1R 4LR,CA-D,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530848,181695,-0.115484,51.519028,"MULTILINESTRING ((530851.26 181694.26,530850.95 181696.31,530845.48 181695.48,530845.75 181693.48))","LINESTRING (-0.115442 51.519022,-0.115446 51.51904,-0.115525 51.519034,-0.115522 51.519016)","{""type"":""MultiLineString"",""coordinates"":[[[530851.26,181694.26],[530850.95,181696.31],[530845.48,181695.48],[530845.75,181693.48]]]}","{""type"":""LineString"",""coordinates"":[[-0.115442,51.519022],[-0.115446,51.51904],[-0.115525,51.519034],[-0.115522,51.519016]]}",46131902,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.519028, -0.115484)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,2,mon-sat 09:00-19:00,N/A,N/A,N/A,N/A,Redington Road,NW3 6XY,CA-H,CA-H,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526030,185692,-0.183465,51.556045,"MULTILINESTRING ((526034.9 185690.9,526034.86 185692.94,526034.66 185692.94,526024.87 185692.45,526024.65 185692.45,526024.72 185690.48))","LINESTRING (-0.183392 51.556034,-0.183392 51.556052,-0.183395 51.556052,-0.183536 51.55605,-0.183539 51.55605,-0.183539 51.556032)","{""type"":""MultiLineString"",""coordinates"":[[[526034.9,185690.9],[526034.86,185692.94],[526034.66,185692.94],[526024.87,185692.45],[526024.65,185692.45],[526024.72,185690.48]]]}","{""type"":""LineString"",""coordinates"":[[-0.183392,51.556034],[-0.183392,51.556052],[-0.183395,51.556052],[-0.183536,51.55605],[-0.183539,51.55605],[-0.183539,51.556032]]}",46035499,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.556045, -0.183465)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,8,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Mortimer Place,NW6 5UT,CA-K,CA-K,40,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525647,183607,-0.189727,51.537393,"MULTILINESTRING ((525667.13 183611.69,525667.52 183609.9,525667.24 183609.85,525627.2 183603.01,525626.92 183602.96,525626.58 183604.78))","LINESTRING (-0.189436 51.53743,-0.189431 51.537414,-0.189435 51.537413,-0.190015 51.537361,-0.190019 51.537361,-0.190023 51.537377)","{""type"":""MultiLineString"",""coordinates"":[[[525667.13,183611.69],[525667.52,183609.9],[525667.24,183609.85],[525627.2,183603.01],[525626.92,183602.96],[525626.58,183604.78]]]}","{""type"":""LineString"",""coordinates"":[[-0.189436,51.53743],[-0.189431,51.537414],[-0.189435,51.537413],[-0.190015,51.537361],[-0.190019,51.537361],[-0.190023,51.537377]]}",46043475,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.537393, -0.189727)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,8,mon-fri 09:00-11:00,N/A,N/A,N/A,N/A,Athlone Street,NW5 4LN,CA-L,CA-L,41,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528546,184905,-0.147475,51.548409,"MULTILINESTRING ((528562.34 184910.28,528561.67 184912.14,528561.46 184912.07,528522.34 184897.21,528523.15 184895.42))","LINESTRING (-0.14724 51.548449,-0.147249 51.548466,-0.147252 51.548465,-0.147821 51.548341,-0.14781 51.548324)","{""type"":""MultiLineString"",""coordinates"":[[[528562.34,184910.28],[528561.67,184912.14],[528561.46,184912.07],[528522.34,184897.21],[528523.15,184895.42]]]}","{""type"":""LineString"",""coordinates"":[[-0.14724,51.548449],[-0.147249,51.548466],[-0.147252,51.548465],[-0.147821,51.548341],[-0.14781,51.548324]]}",46045768,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.548409, -0.147475)",http://opendatacommunities.org/id/london-borough-council/camden
car club,1,at any time,N/A,N/A,N/A,N/A,Mill Lane,NW6 1LX,CA-P,N/A,7,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",524780,185106,-0.201698,51.551058,"MULTILINESTRING ((524782.7 185105.62,524782.59 185107.24,524775.38 185106.73,524777.44 185104.98))","LINESTRING (-0.201652 51.551052,-0.201653 51.551067,-0.201757 51.551064,-0.201728 51.551048)","{""type"":""MultiLineString"",""coordinates"":[[[524782.7,185105.62],[524782.59,185107.24],[524775.38,185106.73],[524777.44,185104.98]]]}","{""type"":""LineString"",""coordinates"":[[-0.201652,51.551052],[-0.201653,51.551067],[-0.201757,51.551064],[-0.201728,51.551048]]}",46043910,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.551058, -0.201698)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,1,mon-fri 12:30-14:30,N/A,N/A,N/A,N/A,Heath Drive,NW3 7SY,CA-S,CA-S,8,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525533,185633,-0.19065,51.555622,"MULTILINESTRING ((525531.58 185628.29,525533.4 185628.24,525533.4 185628.4,525533.6 185636.68,525533.6 185636.86,525531.77 185636.88))","LINESTRING (-0.190671 51.555584,-0.190644 51.555583,-0.190644 51.555584,-0.190638 51.555658,-0.190638 51.55566,-0.190665 51.555661)","{""type"":""MultiLineString"",""coordinates"":[[[525531.58,185628.29],[525533.4,185628.24],[525533.4,185628.4],[525533.6,185636.68],[525533.6,185636.86],[525531.77,185636.88]]]}","{""type"":""LineString"",""coordinates"":[[-0.190671,51.555584],[-0.190644,51.555583],[-0.190644,51.555584],[-0.190638,51.555658],[-0.190638,51.55566],[-0.190665,51.555661]]}",46035422,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.555622, -0.19065)",http://opendatacommunities.org/id/london-borough-council/camden
loading,1,mon-fri 08:30-18:00,N/A,N/A,N/A,N/A,Plender Street,NW1 0JN,CA-F,N/A,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529171,183546,-0.138967,51.536051,"MULTILINESTRING ((529166.2 183542.22,529165.04 183544.11,529175.88 183550.13,529176.88 183548.35))","LINESTRING (-0.139038 51.536017,-0.139054 51.536034,-0.138895 51.536086,-0.138882 51.536069)","{""type"":""MultiLineString"",""coordinates"":[[[529166.2,183542.22],[529165.04,183544.11],[529175.88,183550.13],[529176.88,183548.35]]]}","{""type"":""LineString"",""coordinates"":[[-0.139038,51.536017],[-0.139054,51.536034],[-0.138895,51.536086],[-0.138882,51.536069]]}",46127413,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.536051, -0.138967)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,2,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Cubitt Street,WC1X 0LJ,CA-D,CA-D,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530874,182552,-0.114798,51.526724,"MULTILINESTRING ((530877.91 182555.29,530878.87 182553.41,530878.74 182553.33,530869.73 182549.24,530869.57 182549.18,530868.67 182551.16))","LINESTRING (-0.114739 51.526754,-0.114726 51.526737,-0.114728 51.526736,-0.114859 51.526701,-0.114861 51.526701,-0.114873 51.526719)","{""type"":""MultiLineString"",""coordinates"":[[[530877.91,182555.29],[530878.87,182553.41],[530878.74,182553.33],[530869.73,182549.24],[530869.57,182549.18],[530868.67,182551.16]]]}","{""type"":""LineString"",""coordinates"":[[-0.114739,51.526754],[-0.114726,51.526737],[-0.114728,51.526736],[-0.114859,51.526701],[-0.114861,51.526701],[-0.114873,51.526719]]}",46043255,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.526724, -0.114798)",http://opendatacommunities.org/id/london-borough-council/camden
disabled (blue badge),2,at any time,N/A,N/A,N/A,N/A,Rosemont Road,NW3 6ND,CA-R,N/A,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526148,184957,-0.182022,51.549414,"MULTILINESTRING ((526142.77 184953.61,526141.97 184955.47,526153.5 184960.51,526154.38 184958.65))","LINESTRING (-0.182101 51.549384,-0.182112 51.549401,-0.181944 51.549444,-0.181932 51.549427)","{""type"":""MultiLineString"",""coordinates"":[[[526142.77,184953.61],[526141.97,184955.47],[526153.5,184960.51],[526154.38,184958.65]]]}","{""type"":""LineString"",""coordinates"":[[-0.182101,51.549384],[-0.182112,51.549401],[-0.181944,51.549444],[-0.181932,51.549427]]}",46134469,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.549414, -0.182022)",http://opendatacommunities.org/id/london-borough-council/camden
disabled (blue badge),1,at any time,N/A,N/A,N/A,N/A,Minster Road,NW2 3RD,CA-P,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",524570,185322,-0.204637,51.553042,"MULTILINESTRING ((524573.13 185322.71,524572.06 185324.21,524567.61 185320.93,524568.66 185319.39))","LINESTRING (-0.204597 51.55305,-0.204611 51.553063,-0.204677 51.553035,-0.204662 51.553021)","{""type"":""MultiLineString"",""coordinates"":[[[524573.13,185322.71],[524572.06,185324.21],[524567.61,185320.93],[524568.66,185319.39]]]}","{""type"":""LineString"",""coordinates"":[[-0.204597,51.55305],[-0.204611,51.553063],[-0.204677,51.553035],[-0.204662,51.553021]]}",46043891,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.553042, -0.204637)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,2,"mon-fri 09:00-18:30, sat 09:30-13:30",N/A,N/A,N/A,N/A,Maresfield Gardens,NW3 5SX,CA-B,CA-B,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526451,184916,-0.177667,51.548978,"MULTILINESTRING ((526452.5 184921.36,526450.47 184921.31,526450.47 184921.1,526450.8 184911.19,526450.83 184910.95,526452.87 184911.04))","LINESTRING (-0.177648 51.549025,-0.177677 51.549025,-0.177677 51.549023,-0.177676 51.548934,-0.177676 51.548932,-0.177646 51.548932)","{""type"":""MultiLineString"",""coordinates"":[[[526452.5,184921.36],[526450.47,184921.31],[526450.47,184921.1],[526450.8,184911.19],[526450.83,184910.95],[526452.87,184911.04]]]}","{""type"":""LineString"",""coordinates"":[[-0.177648,51.549025],[-0.177677,51.549025],[-0.177677,51.549023],[-0.177676,51.548934],[-0.177676,51.548932],[-0.177646,51.548932]]}",46035659,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.548978, -0.177667)",http://opendatacommunities.org/id/london-borough-council/camden
paid-for / resident permit holders,8,mon-fri 08:30-18:30,2 hours,£2.38 (non-diesel) / £2.89 (diesel),13220,N/A,Mill Lane,NW6 1NL,CA-P,CA-P,42,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",524902,185150,-0.199914,51.551423,"MULTILINESTRING ((524929.32 185155.05,524928.89 185156.8,524922.97 185155.35,524911.97 185152.6,524903 185150.34,524901.06 185149.85,524899.05 185149.35,524896.52 185148.7,524893.95 185148.09,524891.55 185147.43,524889.23 185146.74,524887.74 185146.39,524887.35 185146.28,524887.85 185144.55))","LINESTRING (-0.199521 51.551464,-0.199527 51.55148,-0.199613 51.551468,-0.199772 51.551446,-0.199902 51.551428,-0.19993 51.551424,-0.199959 51.55142,-0.199996 51.551414,-0.200033 51.551409,-0.200068 51.551404,-0.200102 51.551398,-0.200124 51.551395,-0.200129 51.551395,-0.200123 51.551379)","{""type"":""MultiLineString"",""coordinates"":[[[524929.32,185155.05],[524928.89,185156.8],[524922.97,185155.35],[524911.97,185152.6],[524903,185150.34],[524901.06,185149.85],[524899.05,185149.35],[524896.52,185148.7],[524893.95,185148.09],[524891.55,185147.43],[524889.23,185146.74],[524887.74,185146.39],[524887.35,185146.28],[524887.85,185144.55]]]}","{""type"":""LineString"",""coordinates"":[[-0.199521,51.551464],[-0.199527,51.55148],[-0.199613,51.551468],[-0.199772,51.551446],[-0.199902,51.551428],[-0.19993,51.551424],[-0.199959,51.55142],[-0.199996,51.551414],[-0.200033,51.551409],[-0.200068,51.551404],[-0.200102,51.551398],[-0.200124,51.551395],[-0.200129,51.551395],[-0.200123,51.551379]]}",46128599,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.551423, -0.199914)",http://opendatacommunities.org/id/london-borough-council/camden
paid-for / resident permit holders,8,mon-fri 12:30-14:30,1.5 hours,£3.84 (non-diesel) / £4.65 (diesel),14143,N/A,Kidderpore Avenue,NW3 7AS,CA-S,CA-S,39,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525295,185848,-0.194002,51.557613,"MULTILINESTRING ((525311.72 185837.2,525312.63 185838.85,525278.58 185859.25,525277.52 185857.55))","LINESTRING (-0.193766 51.55751,-0.193752 51.557525,-0.194236 51.557715,-0.194252 51.5577)","{""type"":""MultiLineString"",""coordinates"":[[[525311.72,185837.2],[525312.63,185838.85],[525278.58,185859.25],[525277.52,185857.55]]]}","{""type"":""LineString"",""coordinates"":[[-0.193766,51.55751],[-0.193752,51.557525],[-0.194236,51.557715],[-0.194252,51.5577]]}",46132775,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.557613, -0.194002)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,1,"mon-fri 09:00-18:30, sat 09:30-13:30",N/A,N/A,N/A,N/A,Lancaster Grove,NW3 4PB,CA-B,CA-B,8,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527182,184582,-0.167259,51.54581,"MULTILINESTRING ((527177.68 184584.15,527177.26 184582.15,527177.46 184582.1,527185.7 184580.24,527185.88 184580.19,527186.44 184582.09))","LINESTRING (-0.167317 51.545832,-0.167323 51.545814,-0.167321 51.545813,-0.167202 51.545795,-0.1672 51.545794,-0.167191 51.545811)","{""type"":""MultiLineString"",""coordinates"":[[[527177.68,184584.15],[527177.26,184582.15],[527177.46,184582.1],[527185.7,184580.24],[527185.88,184580.19],[527186.44,184582.09]]]}","{""type"":""LineString"",""coordinates"":[[-0.167317,51.545832],[-0.167323,51.545814],[-0.167321,51.545813],[-0.167202,51.545795],[-0.1672,51.545794],[-0.167191,51.545811]]}",46047382,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.54581, -0.167259)",http://opendatacommunities.org/id/london-borough-council/camden
disabled (blue badge),3,at any time,N/A,N/A,N/A,N/A,Harmood Street,NW1 8DY,CA-F,N/A,19,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528558,184515,-0.147443,51.544894,"MULTILINESTRING ((528559.27 184505.06,528560.95 184505.38,528559.47 184512.67,528556.64 184525.08,528554.91 184524.86))","LINESTRING (-0.147432 51.544808,-0.147408 51.544811,-0.147427 51.544876,-0.147463 51.544989,-0.147488 51.544987)","{""type"":""MultiLineString"",""coordinates"":[[[528559.27,184505.06],[528560.95,184505.38],[528559.47,184512.67],[528556.64,184525.08],[528554.91,184524.86]]]}","{""type"":""LineString"",""coordinates"":[[-0.147432,51.544808],[-0.147408,51.544811],[-0.147427,51.544876],[-0.147463,51.544989],[-0.147488,51.544987]]}",46045940,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.544894, -0.147443)",http://opendatacommunities.org/id/london-borough-council/camden
paid-for,18,mon-sat 08:30-18:30,2 hours,£6.63 (non-diesel) / £8.06 (diesel),13855,E101,Russell Square,WC1B 5DP,CA-E,N/A,91,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530021,181942,-0.127313,51.521439,"MULTILINESTRING ((529993.21 181978.18,529991.7 181977.02,530048.49 181905.46,530049.91 181906.85))","LINESTRING (-0.127698 51.521771,-0.12772 51.521761,-0.126928 51.521105,-0.126907 51.521117)","{""type"":""MultiLineString"",""coordinates"":[[[529993.21,181978.18],[529991.7,181977.02],[530048.49,181905.46],[530049.91,181906.85]]]}","{""type"":""LineString"",""coordinates"":[[-0.127698,51.521771],[-0.12772,51.521761],[-0.126928,51.521105],[-0.126907,51.521117]]}",46035990,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.521439, -0.127313)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,3,mon-fri 10:00-12:00,N/A,N/A,N/A,N/A,Broomsleigh Street,NW6 1QH,CA-P,CA-P,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525029,184950,-0.198153,51.549597,"MULTILINESTRING ((525029.95 184944.01,525031.64 184944.53,525031.6 184944.65,525028.16 184955.13,525028.12 184955.29,525026.4 184954.7))","LINESTRING (-0.198145 51.549545,-0.198121 51.549549,-0.198121 51.54955,-0.198167 51.549645,-0.198168 51.549647,-0.198193 51.549642)","{""type"":""MultiLineString"",""coordinates"":[[[525029.95,184944.01],[525031.64,184944.53],[525031.6,184944.65],[525028.16,184955.13],[525028.12,184955.29],[525026.4,184954.7]]]}","{""type"":""LineString"",""coordinates"":[[-0.198145,51.549545],[-0.198121,51.549549],[-0.198121,51.54955],[-0.198167,51.549645],[-0.198168,51.549647],[-0.198193,51.549642]]}",46044025,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.549597, -0.198153)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,2,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Camden Street,NW1 0HL,CA-G,CA-G;CA-F,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529268,183730,-0.137506,51.537678,"MULTILINESTRING ((529269.47 183724.2,529271.03 183725.1,529270.87 183725.38,529265.55 183734.63,529265.4 183734.87,529264.07 183734.01),(529269.47 183724.2,529271.03 183725.1,529270.87 183725.38,529265.55 183734.63,529265.4 183734.87,529264.07 183734.01))","LINESTRING (-0.137483 51.537629,-0.13746 51.537636,-0.137462 51.537639,-0.137536 51.537723,-0.137538 51.537725,-0.137557 51.537718)","{""type"":""MultiLineString"",""coordinates"":[[[529269.47,183724.2],[529271.03,183725.1],[529270.87,183725.38],[529265.55,183734.63],[529265.4,183734.87],[529264.07,183734.01]],[[529269.47,183724.2],[529271.03,183725.1],[529270.87,183725.38],[529265.55,183734.63],[529265.4,183734.87],[529264.07,183734.01]]]}","{""type"":""LineString"",""coordinates"":[[-0.137483,51.537629],[-0.13746,51.537636],[-0.137462,51.537639],[-0.137536,51.537723],[-0.137538,51.537725],[-0.137557,51.537718]]}",46049613,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.537678, -0.137506)",http://opendatacommunities.org/id/london-borough-council/camden
paid-for,3,mon-fri 08:30-18:30,2 hours,£3.84 (non-diesel) / £4.65 (diesel),13174,M105,Caversham Road,NW5 2DX,CA-M,N/A,20,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529040,184956,-0.14034,51.548755,"MULTILINESTRING ((529051.79 184954.05,529051.66 184956.32,529032.07 184957.89,529031.94 184957.9,529031.81 184955.84))","LINESTRING (-0.140169 51.548731,-0.14017 51.548751,-0.140452 51.54877,-0.140454 51.54877,-0.140456 51.548751)","{""type"":""MultiLineString"",""coordinates"":[[[529051.79,184954.05],[529051.66,184956.32],[529032.07,184957.89],[529031.94,184957.9],[529031.81,184955.84]]]}","{""type"":""LineString"",""coordinates"":[[-0.140169,51.548731],[-0.14017,51.548751],[-0.140452,51.54877],[-0.140454,51.54877],[-0.140456,51.548751]]}",46128067,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.548755, -0.14034)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,1,at any time,N/A,N/A,N/A,N/A,Endell Street,WC2H 9HQ,CA-C,CA-C,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530210,181207,-0.124866,51.514788,"MULTILINESTRING ((530208.55 181209.15,530207.05 181207.81,530210.53 181204.07,530212.02 181205.5))","LINESTRING (-0.124879 51.514811,-0.124902 51.514799,-0.124853 51.514765,-0.124831 51.514777)","{""type"":""MultiLineString"",""coordinates"":[[[530208.55,181209.15],[530207.05,181207.81],[530210.53,181204.07],[530212.02,181205.5]]]}","{""type"":""LineString"",""coordinates"":[[-0.124879,51.514811],[-0.124902,51.514799],[-0.124853,51.514765],[-0.124831,51.514777]]}",46131283,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.514788, -0.124866)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,3,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Cantelowes Road,NW1 9XH,CA-N,CA-N,18,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529788,184563,-0.129699,51.545046,"MULTILINESTRING ((529794.78 184555.81,529795.94 184557.25,529795.85 184557.32,529781.3 184569.33,529781.22 184569.4,529780.02 184567.95))","LINESTRING (-0.129606 51.544982,-0.129589 51.544994,-0.12959 51.544995,-0.129796 51.545106,-0.129797 51.545107,-0.129815 51.545094)","{""type"":""MultiLineString"",""coordinates"":[[[529794.78,184555.81],[529795.94,184557.25],[529795.85,184557.32],[529781.3,184569.33],[529781.22,184569.4],[529780.02,184567.95]]]}","{""type"":""LineString"",""coordinates"":[[-0.129606,51.544982],[-0.129589,51.544994],[-0.12959,51.544995],[-0.129796,51.545106],[-0.129797,51.545107],[-0.129815,51.545094]]}",46048434,Defined By Custodian,04/08/2023 11:00:34 PM,"(51.545046, -0.129699)",http://opendatacommunities.org/id/london-borough-council/camden
solo motorcycles,1,at any time,N/A,N/A,N/A,N/A,New Oxford Street,WC1A 1NU,CA-C,N/A,7,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530286,181479,-0.123671,51.517217,"GEOMETRYCOLLECTION (MULTILINESTRING ((530287.62 181477.49,530287.05 181479.97,530280.66 181478.87,530281.12 181476.4),(530286.37 181479.27,530286.24 181479.2),(530286.24 181479.2,530286.23 181479.23)))","MULTILINESTRING ((-0.123641 51.517204,-0.123649 51.517226,-0.123741 51.517218,-0.123735 51.517196),(-0.123659 51.51722,-0.123661 51.51722),(-0.123661 51.51722,-0.123661 51.51722))","{""type"":""GeometryCollection"",""geometries"":[{""type"":""MultiLineString"",""coordinates"":[[[530287.62,181477.49],[530287.05,181479.97],[530280.66,181478.87],[530281.12,181476.4]],[[530286.37,181479.27],[530286.24,181479.2]],[[530286.24,181479.2],[530286.23,181479.23]]]}]}","{""type"":""MultiLineString"",""coordinates"":[[[-0.123641,51.517204],[-0.123649,51.517226],[-0.123741,51.517218],[-0.123735,51.517196]],[[-0.123659,51.51722],[-0.123661,51.51722]],[[-0.123661,51.51722],[-0.123661,51.51722]]]}",46042328,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.517217, -0.123671)",http://opendatacommunities.org/id/london-borough-council/camden
paid-for,5,"mon-fri 09:00-18:30, sat 09:30-13:30",2 hours,£3.84 (non-diesel) / £4.65 (diesel),13774,N/A,Fleet Road,NW3 2QX,CA-B,N/A,29,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527487,185456,-0.162536,51.553601,"MULTILINESTRING ((527501.68 185453.57,527501.92 185455.56,527473.23 185459.37,527472.95 185457.38))","LINESTRING (-0.162332 51.553572,-0.162328 51.55359,-0.16274 51.553631,-0.162745 51.553613)","{""type"":""MultiLineString"",""coordinates"":[[[527501.68,185453.57],[527501.92,185455.56],[527473.23,185459.37],[527472.95,185457.38]]]}","{""type"":""LineString"",""coordinates"":[[-0.162332,51.553572],[-0.162328,51.55359],[-0.16274,51.553631],[-0.162745,51.553613]]}",46133248,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.553601, -0.162536)",http://opendatacommunities.org/id/london-borough-council/camden
paid-for,3,"mon-fri 08:30-18:30, sat 08:30-13:30",2 hours,£6.63 (non-diesel) / £8.06 (diesel),13386,N/A,Cartwright Gardens,WC1H 9EN,CA-D,N/A,17,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530055,182565,-0.126594,51.527029,"MULTILINESTRING ((530051.06 182572.94,530049.32 182571.86,530058.57 182556.66,530060.31 182557.72))","LINESTRING (-0.126645 51.527103,-0.12667 51.527094,-0.126542 51.526955,-0.126517 51.526964)","{""type"":""MultiLineString"",""coordinates"":[[[530051.06,182572.94],[530049.32,182571.86],[530058.57,182556.66],[530060.31,182557.72]]]}","{""type"":""LineString"",""coordinates"":[[-0.126645,51.527103],[-0.12667,51.527094],[-0.126542,51.526955],[-0.126517,51.526964]]}",46133035,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.527029, -0.126594)",http://opendatacommunities.org/id/london-borough-council/camden
